pitcher_name,missing_data_type
jeff criswell,xSLG
chase anderson,xSLG
cooper criswell,xSLG
austin voth,xSLG
ethan roberts,xSLG
nick robertson,xSLG
alex faedo,xSLG
trevor rogers,xSLG
jacob lopez,xSLG
dillon tate,xSLG
mason black,xSLG
nick anderson,xSLG
jp france,xSLG
parker dunshee,xSLG
hunter stratton,xSLG
gerardo reyes,xSLG
logan gillaspie,xSLG
alan busenitz,xSLG
brent headrick,xSLG
patrick sandoval,xSLG
chase shugart,xSLG
jesse chavez,xSLG
quinn priester,xSLG
ty blach,xSLG
blake walston,xSLG
kai-wei teng,xSLG
josh winckowski,xSLG
deivi garcia,xSLG
luis medina,xSLG
adbert alzolay,xSLG
john mcmillon,xSLG
matt festa,xSLG
diego castillo,xSLG
zach mckinstry,xSLG
yunior marte,xSLG
kyle bradish,xSLG
ty madden,xSLG
yerry rodriguez,xSLG
jhonny pereda,xSLG
gavin stone,xSLG
eduard bazardo,xSLG
will klein,xSLG
yilber diaz,xSLG
sixto sanchez,xSLG
cristian javier,xSLG
brandon hughes,xSLG
landon knack,xSLG
brandon bielak,xSLG
chad patrick,xSLG
zach pop,xSLG
matt manning,xSLG
joe kelly,xSLG
declan cronin,xSLG
adrian houser,xSLG
jonathan loaisiga,xSLG
nick burdi,xSLG
brady basso,xSLG
daniel palencia,xSLG
james paxton,xSLG
michael kelly,xSLG
jackson rutledge,xSLG
joe musgrove,xSLG
elieser hernandez,xSLG
robert gasser,xSLG
rafael montero,xSLG
hunter strickland,xSLG
andrew chafin,xSLG
drew thorpe,xSLG
burch smith,xSLG
dane dunning,xSLG
will smith,xSLG
kyle muller,xSLG
kenny rosenberg,xSLG
brandon crawford,xSLG
max lazar,xSLG
mitch white,xSLG
christian scott,xSLG
joe la sorsa,xSLG
josh rogers,xSLG
jacob waguespack,xSLG
cole irvin,xSLG
jose urena,xSLG
jhony brito,xSLG
jose cuas,xSLG
jared shuster,xSLG
carson fulmer,xSLG
dakota hudson,xSLG
ryder ryan,xSLG
roansy contreras,xSLG
andrew kittredge,xSLG
justin wrobleski,xSLG
kyle nicolas,xSLG
tucker davidson,xSLG
luke little,xSLG
gerrit cole,xSLG
