Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Raffi Vizcaíno,,0.0475,0.0504,0,4.30308,1,0,0,0,,1,4.409,0.943,0.5174,0.47812,0.1151,0.5281,,0.043,0.9464,8.5176,4.7529,1.79208,1.0359,0.214652,0.119778,0.094874121,0.245707,1.4711,0.298192,0.728037,,,4.48328,-0.00401543,-0.0475359,999,,,,,,,3.8,3.8,4,4,,,,,,,,,,,,,,,,,,,Raffi Vizcaino,sa736742,642563
Cody Stashak,,0.0466,0.0513,0,4.54401,1,0,0,0,,1,4.32,0.9939,0.5376,0.50489,0.1591,0.3473,,0.0405,0.8571,7.7139,3.1257,2.4679,1.4319,0.198403,0.0803935,0.118009262,0.252759,1.3412,0.286283,0.718488,,,4.68398,-0.00402337,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Cody Stashak,18088,664054
CJ Weins,DET,0.0465,0.0514,0,4.26897,1,0,0,0,,1,4.376,0.9372,0.5109,0.47433,0.1226,0.4738,,0.0424,0.9435,8.4915,4.2642,1.99135,1.1034,0.215608,0.108272,0.107335471,0.242811,1.411,0.291585,0.726262,,,4.42188,-0.00402338,-0.0475101,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,CJ Weins,sa3023221,694291
JC Ramírez,,0.0478,0.06,0.0275,4.7331,0.6562,0.0732,0,0,,1,4.415,1.0512,0.5658,0.5259,0.1322,0.4152,,0.0489,0.8011,7.2099,3.7368,1.92943,1.1898,0.18145,0.094043,0.087406576,0.266066,1.4664,0.304547,0.702869,,,4.67518,-0.00402564,-0.0475322,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,JC Ramirez,8302,500724
Shane Drohan,BOS,0.0476,0.0504,0,4.44384,1,0,0,0,,1,4.365,0.9889,0.5304,0.49376,0.1311,0.4334,,0.0442,0.8785,7.9065,3.9006,2.027,1.1799,0.20126,0.0992898,0.101970218,0.254386,1.4223,0.298075,0.719994,,,4.54658,-0.00402905,-0.0475618,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Shane Drohan,sa3014447,675660
Ryan Bourassa,ATL,0.0491,0.0488,0,4.48515,1,0,0,0,,1,4.39,0.9576,0.5335,0.49835,0.1331,0.4768,,0.042,0.9883,8.8947,4.2912,2.07278,1.1979,0.225125,0.10861,0.116514817,0.247365,1.4344,0.29984,0.72184,,,4.47658,-0.00405175,-0.0475318,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Ryan Bourassa,sa3022947,802180
Eric Stout,,0.0471,0.0508,0,4.42116,1,0,0,0,,1,4.401,0.9487,0.5261,0.49124,0.1395,0.4718,,0.0511,0.931,8.379,4.2462,1.97329,1.2555,0.211543,0.107203,0.10433992,0.24463,1.4205,0.288218,0.730003,,,4.68668,-0.00405402,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Eric Stout,16873,657770
Camden Minacci,LAA,0.0467,0.0512,0,4.37463,1,0,0,0,,1,4.355,0.9625,0.5231,0.48607,0.1359,0.4443,,0.0441,0.9479,8.5311,3.9987,2.13347,1.2231,0.217658,0.102021,0.115637198,0.248927,1.4068,0.297039,0.726404,,,4.50258,-0.00408126,-0.0475415,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Camden Minacci,sa3022728,695229
Freddy Tarnok,MIA,0.0443,0.0579,0.0117,4.58991,0.8499,0.0319,0,0,,1,4.356,0.9718,0.5435,0.50999,0.1521,0.411,,0.0442,0.9141,8.2269,3.699,2.22409,1.3689,0.209848,0.0943526,0.115495861,0.249128,1.3828,0.289177,0.717436,,,4.68118,-0.00408353,-0.0475326,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Freddy Tarnok,23324,676206
Christian Roa,MIA,0.0447,0.0532,0,4.35825,1,0,0,0,,1,4.384,0.9319,0.5202,0.48425,0.1274,0.4885,,0.0512,0.98,8.82,4.3965,2.00614,1.1466,0.22354,0.111428,0.112112232,0.242411,1.4204,0.293946,0.724775,,,4.48178,-0.00409034,-0.0475326,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Christian Roa,sa3014477,685005
Kevin Stevens,NYY,0.0493,0.0487,0,4.26402,1,0,0,0,,1,4.342,0.9429,0.5092,0.47378,0.1399,0.4283,,0.0432,0.9817,8.8353,3.8547,2.29208,1.2591,0.226094,0.0986412,0.127452783,0.243612,1.3712,0.292117,0.733405,,,4.43628,-0.00409488,-0.0475135,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Kevin Stevens,sa3020613,805728
Blake Walston,ARI,0.0512,0.0582,0.033,4.59693,0.5951,0.0861,0,0,,1,4.398,1.0279,0.5484,0.51077,0.1316,0.4094,,0.0549,0.8296,7.4664,3.6846,2.02638,1.1844,0.188631,0.0930878,0.095543437,0.261306,1.4373,0.301531,0.709383,,,4.61098,-0.00409832,-0.0475401,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Blake Walston,26270,686796
Sam Gardner,,0.0475,0.0504,0,4.34196,1,0,0,0,,1,4.346,0.9368,0.5169,0.48244,0.1374,0.4495,,0.0384,0.9627,8.6643,4.0455,2.14171,1.2366,0.221514,0.103428,0.1180856,0.242814,1.3863,0.289848,0.728177,,,4.49098,-0.00410282,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Sam Gardner,sa3021721,814217
Steven Brault,,0.0465,0.0514,0,4.51242,1,0,0,0,,1,4.407,1.0354,0.5395,0.50138,0.1315,0.4118,,0.05,0.7852,7.0668,3.7062,1.90675,1.1835,0.178171,0.0934422,0.084728837,0.262446,1.4472,0.298465,0.718629,,,4.69098,-0.00410282,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Steven Brault,15291,643230
Jake Walsh,,0.0463,0.0516,0,4.56354,1,0,0,0,,1,4.401,0.9761,0.5436,0.50706,0.137,0.4687,,0.0446,0.8982,8.0838,4.2183,1.91636,1.233,0.20409,0.106499,0.097591452,0.251074,1.4448,0.294163,0.719234,,,4.69098,-0.00410282,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Jake Walsh,20227,673904
