#1 Twins,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Albert Abreu,8,9,4.3,1.2,0.301,72.60%,4.42,4.42,0
Tejay Antone  ,5,8.6,3.9,1.2,0.298,72.50%,4.35,4.35,0
Total,443,8.7,3.9,1.2,0.298,70.90%,4.53,4.4,0.9
,,,,,,,,,
,,,,,,,,,
#27 Marlins,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Calvin Faucher,52,9.3,4.3,1,0.311,73.20%,4.12,3.97,0.1
Anthony Bender,51,9,3.5,0.9,0.305,72.00%,3.85,3.7,0.4
Jesus Tinoco,50,8.6,3.6,1,0.299,72.70%,3.98,3.9,0.3
Ronny Henriquez,49,8,3.5,1,0.303,72.00%,4.19,4.14,0.1
Anthony Veneziano,48,7.3,3.6,1.1,0.304,71.40%,4.44,4.43,-0.1
Lake Bachar,46,8.5,3.9,1.3,0.296,72.00%,4.45,4.43,-0.1
Declan Cronin  ,44,7.6,3.6,0.8,0.308,71.90%,4.01,3.96,0
George Soriano,41,8.5,4.2,1.4,0.3,70.10%,4.82,4.78,-0.2
Tyler Phillips,39,6.6,3.3,1.2,0.32,67.10%,5.14,4.48,0
Luarbert Arias,36,7.6,3.6,1.4,0.295,69.20%,4.87,4.77,-0.1
Cade Gibson,34,6.2,3.6,1.1,0.307,69.60%,4.78,4.8,-0.1
Connor Gillispie,32,7.3,3.5,1.4,0.292,70.20%,4.84,4.84,-0.1
Andrew Nardi  ,27,10.9,3.8,1,0.29,75.80%,3.5,3.53,0.1
Josh Simpson,23,8.8,4.8,1,0.297,73.70%,4.12,4.28,0
John Rooney,21,7.6,4.2,0.9,0.303,72.50%,4.14,4.29,0
Janson Junk,20,6.6,2.2,1.3,0.297,71.10%,4.31,4.25,0
Patrick Monteverde,18,6.9,3,1.2,0.299,71.60%,4.45,4.46,0
Valente Bellozo,17,6.7,3.1,1.5,0.293,70.70%,4.83,4.84,0
Josh Ekness,15,8.2,4.4,1.1,0.298,71.90%,4.44,4.46,0
Edward Cabrera,12,9.4,4.4,1.1,0.295,70.60%,4.41,4.23,0
Xzavion Curry,10,6.6,2.8,1.5,0.29,69.70%,4.83,4.77,0
Max Meyer,8,8.8,3.1,1.1,0.303,73.00%,3.96,3.84,0
Justin King,7,8.8,4.9,1.1,0.294,73.20%,4.35,4.47,0
Ryan Weathers  ,5,8,3.4,1.2,0.297,73.00%,4.15,4.24,0
Total,468,8,3.7,1.1,0.302,71.40%,4.36,4.29,0.1
,,,,,,,,,
,,,,,,,,,
#28 Nationals,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Kyle Finnegan,51,8.8,3.6,1,0.293,73.10%,3.91,3.87,0.3
Jorge López,51,7.8,3.4,1,0.304,70.00%,4.31,4.2,0.1
Jose A. Ferrer,50,7.8,3.1,0.8,0.298,71.00%,3.85,3.78,0.3
Jackson Rutledge,48,7.8,3.9,1.1,0.294,69.90%,4.53,4.53,-0.2
Cole Henry,46,8.8,4.1,1.3,0.291,70.30%,4.54,4.6,-0.1
Lucas Sims,46,9.5,5.1,1.3,0.285,69.40%,4.81,4.86,-0.2
Eduardo Salazar,42,6.8,3.6,0.9,0.301,69.50%,4.41,4.35,0
Colin Poche,41,8.5,4.3,1.3,0.279,71.70%,4.48,4.54,-0.1
Derek Law  ,39,7.8,3.3,1,0.295,73.00%,3.93,4.02,0
Brad Lord,34,6,3,1.1,0.299,67.90%,4.72,4.63,-0.1
Orlando Ribalta  ,33,8.2,4.7,1.3,0.289,70.30%,4.86,4.82,-0.1
Mason Thompson  ,31,7.5,3.7,1,0.296,72.30%,4.14,4.24,0
Michael Soroka  ,30,8.2,3.6,1.2,0.293,69.30%,4.54,4.37,0
Joan Adon,29,7.4,3.8,1.1,0.293,72.20%,4.29,4.48,0
Andry Lara,23,6.8,3.3,1.3,0.287,71.80%,4.42,4.61,0
Shinnosuke Ogasawara,20,7.1,3.3,1.3,0.288,72.10%,4.45,4.62,0
Zach Brzykcy,17,8.8,4.4,1.1,0.288,73.20%,4.2,4.34,0
Trevor Williams,15,7.2,2.9,1.3,0.3,70.50%,4.58,4.42,0
Tyler Stuart,12,8,2.8,1,0.291,73.10%,3.77,3.88,0
Cade Cavalli  ,11,8.2,3.5,1.1,0.291,72.00%,4.2,4.26,0
Josiah Gray  ,11,8.3,3.6,1.5,0.283,72.20%,4.59,4.71,0
Mitchell Parker,7,7.5,3.5,1.1,0.293,70.90%,4.38,4.27,0
Total,464,7.9,3.7,1.1,0.293,70.90%,4.36,4.37,-0.1
,,,,,,,,,
,,,,,,,,,
#29 White Sox,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Jordan Leasure,53,9.3,4.5,1.4,0.288,70.70%,4.72,4.58,0.1
Fraser Ellard,51,9,4.9,1,0.298,72.10%,4.27,4.36,0.2
Steven Wilson,52,9,4.8,1.5,0.277,70.90%,4.91,5.02,-0.2
Cam Booser,49,9.6,3.9,1.4,0.297,73.00%,4.4,4.39,0
Penn Murfee,48,8.6,3.5,1.2,0.296,70.30%,4.48,4.29,0.1
Brandon Eisert,45,8.5,3.1,1.1,0.299,71.90%,4.04,3.9,0.2
Mike Vasil,44,6.9,3.2,1.2,0.298,69.20%,4.67,4.57,0
Jared Shuster,42,6.9,3.6,1.3,0.293,70.10%,4.74,4.64,0
Bryse Wilson,39,6.5,3.1,1.5,0.293,69.20%,4.99,4.94,-0.1
Tyler Gilbert,36,8,2.9,1.3,0.295,70.40%,4.48,4.33,0
Gus Varland,33,7.9,3.7,1.2,0.294,72.50%,4.34,4.45,0
Owen White,30,6.9,3.6,1.3,0.293,71.70%,4.54,4.7,0
Justin Anderson,26,8.8,4.2,1.1,0.294,73.20%,4.21,4.31,0
James Karinchak,21,10,5,1.3,0.282,73.50%,4.47,4.56,0
Justin Dunn,19,8.2,4,1.4,0.288,71.40%,4.78,4.83,0
Jairo Iriarte,17,7.1,4.7,1.3,0.294,70.60%,5.05,5.21,-0.1
Trey McGough,15,7.3,4.2,1.3,0.29,73.10%,4.52,4.81,0
Shane Smith,14,7.9,3.4,1.2,0.299,69.60%,4.5,4.43,0
Dan Altavilla,12,8.2,4.2,1.2,0.293,72.70%,4.44,4.55,0
Anthony Hoopii-Tuionetoa,11,7.5,4.1,1.4,0.288,71.90%,4.82,4.98,0
Mike Clevinger,10,7.4,3.5,1.5,0.292,69.70%,4.97,4.98,0
Nick Nastrini,9,7.2,5.1,1.6,0.284,70.10%,5.55,5.68,0
Sean Burke,8,8,4.2,1.5,0.293,70.30%,5.05,5.05,0
Jonathan Cannon,7,6.8,3.4,1.4,0.295,69.30%,4.89,4.81,0
Total,488,8.2,3.9,1.3,0.293,71.20%,4.58,4.58,-0.1
,,,,,,,,,
,,,,,,,,,
#30 Rockies,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Zach Agnos,51,7.4,2.9,1.5,0.299,68.60%,4.94,4.66,-0.2
Seth Halvorsen,50,8,4,1.1,0.308,69.60%,4.72,4.42,0.1
Jake Bird,53,8.4,4,0.9,0.31,70.30%,4.34,4.09,0.2
Tyler Kinley,49,9.6,4.4,1.2,0.303,71.00%,4.62,4.31,0.1
Angel Chivilli,48,8,3.6,1.3,0.307,68.90%,4.85,4.57,-0.1
Scott Alexander,46,6.5,3.3,1,0.314,69.70%,4.54,4.3,0
Jimmy Herget,44,7.4,3.1,1.4,0.308,69.10%,4.95,4.66,0
Juan Mejia,41,8.1,4.8,1.2,0.312,68.70%,5.06,4.85,-0.1
Victor Vodnik  ,39,8.7,4.6,1,0.309,71.00%,4.55,4.28,0
Luis Peralta,38,8.5,5.3,1.3,0.31,69.70%,5.22,5.08,-0.1
Jaden Hill,34,8.4,3.9,1.2,0.314,69.00%,4.82,4.6,0
Bradley Blalock,28,6.4,3.7,1.4,0.306,68.70%,5.3,5.04,-0.1
Diego Castillo,27,7.4,4.5,1.2,0.313,69.90%,5.04,4.82,0
Jefry Yan,25,8.3,5.6,1.1,0.307,71.80%,4.86,4.91,0
Tanner Gordon,21,6.5,2.2,1.5,0.306,69.20%,4.97,4.7,0
Ryan Rolison,20,6.8,3.5,1.2,0.312,70.70%,4.78,4.62,0
Anthony Molina,18,6.1,3,1.4,0.313,68.90%,5.13,4.81,0
Gabriel Hughes,17,7.8,3.3,1.2,0.314,70.60%,4.61,4.29,0
Lucas Gilbreath,15,7.9,4.6,1.1,0.309,71.40%,4.75,4.68,0
Evan Justice,12,8.1,6.1,1.3,0.308,70.60%,5.42,5.36,0
Antonio Senzatela,9,5.4,2.4,1.3,0.316,67.10%,5.16,4.66,0
Chase Dollander  ,7,8.4,3.7,1.5,0.303,67.70%,5.2,4.89,0
Total,485,7.8,3.9,1.2,0.309,69.70%,4.84,4.59,-0.4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
