#1 Twins,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Kirby Yates,50,11.6,4.3,0.9,0.285,75.50%,3.36,3.41,0.7
Alex Vesia,49,11.7,4,1.2,0.277,76.80%,3.52,3.64,0.6
Evan Phillips,47,10.1,2.9,0.9,0.285,74.00%,3.3,3.18,0.6
Anthony Banda,46,8.7,3.5,1.2,0.303,72.20%,4.31,4.23,0
Ben Casparius,43,8.8,3.7,1.3,0.291,71.10%,4.45,4.34,-0.1
Jack Dreyer,41,9.6,3.9,1.1,0.287,73.80%,3.95,3.93,0.1
Michael Kopech  ,38,10.5,4.3,1.2,0.289,73.60%,4.07,4.02,0
Luis García,36,8.1,3.4,0.9,0.304,71.30%,4.03,3.86,0
Yoendrys Gómez,33,8.4,4.1,1.3,0.295,70.00%,4.72,4.58,-0.1
Blake Treinen  ,31,9.8,2.9,1,0.294,74.20%,3.5,3.46,0.1
Matt Sauer,29,7.5,3.3,1.3,0.294,69.40%,4.67,4.59,0
Justin Wrobleski,29,7.9,3.3,1.3,0.292,70.90%,4.5,4.44,0
Landon Knack,27,8.5,3.1,1.4,0.288,71.00%,4.4,4.27,0
Dustin May,23,8.7,3.3,0.9,0.285,71.40%,3.73,3.65,0
Noah Davis,20,7.6,3.4,1.3,0.285,71.30%,4.4,4.67,0
Bobby Miller,18,8.8,3.3,1.1,0.293,70.20%,4.2,3.99,0
Brusdar Graterol  ,16,8,3,0.9,0.305,73.30%,3.63,3.66,0
Tony Gonsolin,13,8,3.3,1.4,0.293,71.30%,4.64,4.57,0
Edgardo Henriquez  ,10,9,4.4,1.2,0.292,73.20%,4.33,4.44,0
Giovanny Gallegos  ,8,8.4,3.4,1.5,0.289,72.60%,4.55,4.58,0
Nick Frasso,7,7.5,3.3,1.3,0.291,72.10%,4.42,4.53,0
Total,460,9.4,3.6,1.1,0.291,72.80%,3.96,3.91,3.1
,,,,,,,,,
,,,,,,,,,
#7 Guardians,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Emmanuel Clase,54,8.8,2.1,0.6,0.291,75.70%,2.78,2.79,1.2
Cade Smith,56,11.4,3.3,0.7,0.296,75.40%,2.99,2.84,1.2
Hunter Gaddis,53,8.7,2.9,1.2,0.285,72.80%,3.91,3.99,0.2
Tim Herrin,51,9.8,3.8,0.8,0.296,74.10%,3.53,3.58,0.3
Jakob Junis,48,8.4,1.9,1.2,0.297,73.10%,3.78,3.68,0.2
Kolby Allard,49,7.5,2.7,1.3,0.295,72.60%,4.22,4.24,0
Joey Cantillo,46,9.8,4.3,1,0.293,73.70%,3.9,3.9,0
Nic Enright,41,9,3.2,1.2,0.288,73.40%,4.04,4.04,0
Vince Velasquez,38,8.6,3.6,1.3,0.29,73.30%,4.28,4.34,0
Paul Sewald  ,34,10.3,2.9,1.4,0.281,74.10%,3.92,3.9,0
Doug Nikhazy,32,8.5,4.9,1.2,0.289,72.60%,4.5,4.67,0
Trevor Stephan  ,30,9.4,3.3,1.1,0.295,72.70%,3.91,3.78,0
Cody Bolton,25,8,4,1.1,0.296,71.70%,4.31,4.31,0
Matt Festa,22,8.5,3.7,1.3,0.288,72.40%,4.34,4.37,0
Andrew Walters  ,21,10.2,4.4,1.1,0.291,73.90%,4.06,4.03,0
Erik Sabrowski  ,18,10.1,4.7,1,0.292,75.10%,3.84,3.98,0
Zak Kent,16,8.2,3.7,1.1,0.299,73.00%,4.09,4.11,0
Slade Cecconi  ,13,8.2,2.1,1.3,0.292,72.30%,4.11,4.04,0
Franco Aleman,11,8.9,3.5,1,0.298,73.00%,3.92,3.9,0
Ryan Webb,10,8.2,3.4,1,0.296,73.30%,3.97,4.06,0
Triston McKenzie,9,8.8,4.5,1.5,0.286,73.10%,4.63,4.79,0
Luis L. Ortiz,7,8,3.6,1.2,0.291,71.50%,4.38,4.39,0
Shane Bieber  ,5,8.9,2.3,1,0.303,73.30%,3.62,3.42,0
Total,475,9.1,3.3,1.1,0.292,73.50%,3.84,3.84,3.1
,,,,,,,,,
,,,,,,,,,
#8 Mets,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Edwin Díaz,53,13,3.6,0.8,0.292,75.70%,3.04,2.81,1.2
Reed Garrett,54,10.5,4.1,0.8,0.298,75.60%,3.43,3.39,0.8
Max Kranick,51,7.4,2.8,1.1,0.287,71.60%,4.1,4.12,0.1
Ryne Stanek,50,10.1,4.4,1,0.284,74.20%,3.83,3.9,0.1
Huascar Brazobán,48,9.2,4.2,0.9,0.294,72.30%,3.94,3.91,0.1
José Buttó,46,9.4,3.7,1,0.282,73.60%,3.66,3.77,0.2
Dedniel Núñez,45,9.7,3.6,1,0.286,75.10%,3.55,3.66,0.1
Kevin Herget,42,7.5,2.5,1.2,0.289,71.00%,4.17,4.1,0.1
Chris Devenski,39,8,3.4,1.3,0.286,71.80%,4.39,4.39,0
Paul Blackburn  ,37,7.9,2.7,1.1,0.295,72.80%,3.97,3.97,0
Génesis Cabrera,36,8.5,4.2,1.1,0.287,73.70%,4.09,4.32,0
Tylor Megill,29,9.5,3.4,1,0.297,72.40%,3.88,3.71,0
Danny Young  ,28,10,4.1,0.7,0.302,71.00%,3.76,3.67,0
Brooks Raley  ,27,8.9,3.7,1,0.289,74.00%,3.86,4.01,0
Brandon Waddell,24,7.9,3.5,1,0.292,73.90%,3.85,4.07,0
Tyler Zuber,21,7.7,4,1.3,0.288,71.60%,4.7,4.79,0
A.J. Minter  ,18,10.3,3.2,0.9,0.284,75.50%,3.29,3.29,0
Griffin Canning,15,8.2,3.3,1.3,0.289,70.70%,4.45,4.36,0
Clay Holmes,11,8.6,3.4,0.6,0.312,73.30%,3.45,3.3,0
Justin Hagenman,10,7.7,2.7,1.3,0.288,70.70%,4.35,4.27,0
Drew Smith  ,8,9.1,3.9,1.3,0.282,73.90%,4.17,4.33,0
Austin Warren,7,7.6,3.8,1.1,0.293,72.30%,4.29,4.41,0
Kodai Senga,5,9.5,3.8,1,0.283,74.40%,3.62,3.74,0
Total,446,9.2,3.6,1,0.29,73.30%,3.84,3.86,2.7
,,,,,,,,,
,,,,,,,,,
#9 Padres,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Robert Suarez,53,9.2,3.1,1,0.284,73.50%,3.57,3.57,0.7
Jason Adam,55,10.6,3.3,0.9,0.275,74.00%,3.26,3.36,0.8
Jeremiah Estrada,52,11.9,3.8,1,0.284,76.60%,3.24,3.16,0.8
Adrian Morejon,50,9.1,3.1,0.9,0.293,74.60%,3.47,3.46,0.4
Yuki Matsui,48,10.8,4,1.1,0.284,75.50%,3.58,3.64,0.3
Alek Jacob,46,8.1,3.3,1.1,0.29,70.70%,4.25,4.26,0
Wandy Peralta,44,7.8,3.7,0.9,0.284,72.90%,3.85,4.13,0
Sean Reynolds  ,43,8.5,4.7,1.1,0.29,73.10%,4.29,4.49,-0.1
David Morgan,39,7.6,3.9,1.2,0.29,72.10%,4.41,4.58,-0.1
Omar Cruz,38,8.5,4.2,1.1,0.287,71.60%,4.28,4.45,-0.1
Bryan Hoeing  ,33,7.4,2.9,1.1,0.298,72.50%,4.02,4.07,0
Ron Marinaccio,31,8.7,4.5,1.1,0.289,72.50%,4.28,4.43,0
Ryan Bergert,27,7,3.4,1.3,0.288,69.80%,4.73,4.7,0
Stephen Kolek,23,6.8,3.2,1,0.299,71.80%,4.1,4.24,0
Kyle Hart,21,7.7,2.8,1.6,0.292,70.10%,4.72,4.69,0
Francis Pena,20,7.6,3.8,1,0.295,72.90%,4.03,4.23,0
Logan Gillaspie  ,18,7.1,3.2,1.2,0.294,70.70%,4.42,4.4,0
Bradgley Rodriguez,16,8.6,4.6,1.1,0.288,73.20%,4.26,4.47,0
Jhony Brito  ,14,7.3,3,1.1,0.293,72.50%,4.02,4.12,0
Randy Vásquez,12,6.4,3.5,1.2,0.294,69.70%,4.68,4.74,0
Luis Patiño  ,10,7.8,3.9,1.3,0.283,72.80%,4.47,4.73,0
Matt Waldron  ,7,7.4,2.7,1.3,0.288,71.10%,4.38,4.42,0
Total,458,8.7,3.6,1.1,0.288,72.90%,3.96,4.04,2.6
,,,,,,,,,
,,,,,,,,,
#10 Astros,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Josh Hader,56,12.5,3.6,1.1,0.276,77.90%,3.12,3.15,1.2
Bryan Abreu  ,59,11.5,4,0.8,0.29,76.50%,3.16,3.21,1
Bryan King,52,9.2,3.8,0.9,0.297,74.00%,3.72,3.83,0.3
Tayler Scott,53,8.9,4,1,0.294,73.20%,4.01,4.09,0.1
Steven Okert,48,10.1,3.3,1.3,0.284,74.70%,3.82,3.99,0.2
Kaleb Ort,46,9.1,3.9,1.4,0.29,72.60%,4.5,4.55,-0.1
Bennett Sousa,44,9.2,3.6,1,0.293,72.20%,3.96,3.84,0
Logan VanWey,43,8.7,4.4,1.2,0.294,72.50%,4.32,4.48,0
Shawn Dubin  ,39,9.1,4.1,1,0.298,73.30%,3.98,4.01,0
Luis Contreras,38,8.9,4.1,1.3,0.293,71.60%,4.45,4.44,0
Forrest Whitley  ,35,9.4,4.2,1,0.298,72.70%,3.96,3.96,0
Ryan Gusto,30,7.6,3.2,1.3,0.291,71.30%,4.41,4.44,0
Nick Hernandez,26,8.7,3.8,1.4,0.282,72.80%,4.41,4.54,0
Nick Robertson,23,8.3,3.8,1.1,0.296,72.60%,4.22,4.26,0
Colton Gordon,21,7.9,2.7,1.3,0.288,73.10%,4.05,4.18,0
Lance McCullers Jr.  ,20,8.4,3.6,1,0.302,72.40%,4.08,4.06,0
Miguel Castro,18,8,4,1.1,0.298,71.60%,4.39,4.4,0
J.P. France  ,15,8.2,3.1,1.2,0.293,72.40%,4.21,4.19,0
AJ Blubaugh,13,7.9,3.6,1.3,0.293,71.60%,4.46,4.47,0
Hayden Wesneski,11,8.4,2.9,1.4,0.29,70.80%,4.48,4.41,0
Cristian Javier  ,10,9.9,3.2,1.3,0.281,73.60%,4.06,4.02,0
Luis Garcia  ,7,8.9,3,1.3,0.29,72.60%,4.17,4.08,0
Total,440,9.4,3.8,1.1,0.291,73.40%,3.97,4.02,2.6
,,,,,,,,,
,,,,,,,,,
#11 Braves,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Raisel Iglesias,56,9.9,2.3,1.2,0.291,75.20%,3.52,3.48,0.6
Daysbel Hernández,52,10.2,4.5,0.9,0.302,74.10%,3.77,3.68,0.6
Dylan Lee,50,10.2,2.8,1.1,0.294,75.80%,3.5,3.42,0.5
Pierce Johnson,49,10.8,3.8,0.9,0.307,75.80%,3.55,3.41,0.4
Aaron Bummer,48,10.4,3.7,0.4,0.319,75.10%,3.03,2.83,0.5
Enyel De Los Santos,46,9.2,3.3,1.2,0.289,73.20%,3.98,4.05,0.1
Rafael Montero,44,8.7,4.6,1,0.315,70.50%,4.58,4.2,0
Craig Kimbrel,41,10.8,4.2,1,0.293,73.90%,3.81,3.7,0.1
Scott Blewett,38,7.4,3.1,1.1,0.301,71.40%,4.23,4.15,0
Michael Petersen,36,8.5,3.6,1.2,0.299,70.00%,4.58,4.34,-0.1
Dylan Dodd,35,7.1,2.5,1.1,0.298,72.60%,4.05,4.09,0
Nathan Wiles,33,6.6,2.1,1.2,0.302,70.20%,4.36,4.19,0
Davis Daniel,30,7.8,2.5,1.1,0.297,71.10%,4.12,3.98,0
Domingo Gonzalez,29,8.9,4.1,1.1,0.296,72.50%,4.19,4.22,0
Joe Jiménez  ,21,10.3,3.3,1,0.294,73.80%,3.69,3.52,0
AJ Smith-Shawver  ,20,9.4,3.8,1.2,0.293,72.50%,4.2,4.05,0
Grant Holmes,16,8.6,3.5,1.1,0.303,70.90%,4.36,4.11,0
José Suarez,14,8.8,3.5,1.1,0.3,72.10%,4.11,3.96,0
Reynaldo López  ,12,9.5,3.1,1,0.292,74.50%,3.54,3.48,0
Ian Anderson,10,8,3.9,1,0.296,70.80%,4.3,4.1,0
Bryce Elder,7,7.3,3.2,1.1,0.303,70.00%,4.44,4.21,0
Total,444,9.2,3.4,1,0.3,73.00%,3.92,3.8,2.5
,,,,,,,,,
,,,,,,,,,
#12 Royals,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Carlos Estévez,52,8.6,3.6,0.9,0.287,71.80%,3.91,3.81,0.6
Lucas Erceg,55,9.9,3.6,0.7,0.304,72.70%,3.5,3.29,0.9
Hunter Harvey  ,41,9.5,2.7,0.8,0.298,74.20%,3.31,3.16,0.6
Angel Zerpa,50,7.8,3.1,0.9,0.301,72.00%,3.88,3.8,0.2
John Schreiber,51,8.4,3.7,1,0.299,72.10%,4.05,3.98,0.2
Daniel Lynch IV,48,7.2,2.8,1.1,0.303,70.20%,4.39,4.16,0
Chris Stratton,44,7.1,4,1.1,0.3,69.40%,4.71,4.45,0
Steven Cruz,42,8.6,4.5,1,0.298,71.80%,4.25,4.23,0
Jonathan Bowlan,39,7,3,1.2,0.301,70.00%,4.52,4.36,0
Evan Sisk,37,8.5,4.5,0.8,0.304,71.00%,4.18,4.07,0
Sam Long  ,33,7.8,3.8,1.2,0.293,70.60%,4.55,4.45,0
Noah Cameron,29,8.3,2.6,1,0.298,73.40%,3.65,3.63,0.1
Michael Lorenzen,29,7,3.7,1.1,0.287,70.20%,4.51,4.51,0
James McArthur  ,26,8.1,3,0.9,0.306,72.10%,3.91,3.77,0
Kris Bubic,22,8.8,3.2,1,0.303,72.10%,3.93,3.72,0
Kyle Wright  ,20,7.6,3.1,0.9,0.31,70.80%,4.16,3.95,0
Luinder Avila,18,7.3,3.8,1,0.306,71.10%,4.34,4.26,0
Alec Marsh  ,16,8.5,3.3,1.2,0.3,71.00%,4.39,4.19,0
Taylor Clarke,15,7.1,2.7,1.2,0.299,71.60%,4.34,4.27,0
Eric Cerantola,10,8.2,4.9,1,0.299,71.50%,4.55,4.55,0
Jacob Wallace,8,7.7,5,1.1,0.296,71.10%,4.8,4.82,0
Austin Cox,7,7.2,3.7,1.1,0.297,72.00%,4.35,4.42,0
Junior Fernández,7,7.8,4.3,0.9,0.304,71.90%,4.25,4.24,0
Total,442,8.1,3.5,1,0.299,71.50%,4.11,3.99,2.5
,,,,,,,,,
,,,,,,,,,
#13 Blue Jays,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Jeff Hoffman,53,11.3,2.9,0.8,0.281,77.10%,2.85,2.85,1.4
Yimi García,52,10.1,2.8,1,0.288,74.20%,3.43,3.41,0.7
Chad Green,51,8.6,2.6,1.4,0.28,72.80%,4.1,4.14,0.1
