Name,Team,Stuff+,Location+,TTO%,NameASCII,PlayerId,MLBAMID
"Ben Rortvedt","TBR",50.69888888888889,77.03888888888888,0.36363636,"Ben Rortvedt",20287,666163
"J.B. Bukauskas","MIL",98.39318181818182,99.7409090909091,0.36363636,"J.B. Bukauskas",20491,656266
"Josiah Gray","WSN",94.37337142857145,88.83005714285713,0.36363636,"Josiah Gray",24580,680686
"Josh Simpson","MIA",99.30790697674418,101.27395348837209,0.36363636,"Josh Simpson",25957,681006
"Zac Kristofak","LAA",89.98051282051281,82.82410256410257,0.36363636,"Zac Kristofak",27585,670219
"Frankie Montas","- - -",102.42102696444843,98.43670195387632,0.36335878,"Frankie Montas",14309,593423
"Sean Manaea","NYM",98.31765840220392,97.18008815426997,0.36314363,"Sean Manaea",15873,640455
"Ryan Miller","LAA",99.8113183279743,102.59485530546624,0.36206897,"Ryan Miller",22187,668943
"Clarke Schmidt","NYY",104.47060668138147,101.5243338948273,0.36190476,"Clarke Schmidt",19899,657376
"Joe Ryan","MIN",104.81742139524798,107.39705908065082,0.36082474,"Joe Ryan",21390,657746
"Dan Altavilla","- - -",97.96972224371372,92.62730522243713,0.36065574,"Dan Altavilla",16507,656186
"Huascar Brazobán","- - -",101.878687667145,94.94343224344682,0.36052632,"Huascar Brazoban",6107,623211
"Nate Pearson","- - -",111.63539971113079,93.52366034571122,0.36046512,"Nate Pearson",20160,663878
"Jesse Hahn","SEA",99.58961038961041,83.47948051948052,0.36,"Jesse Hahn",13287,534910
"Jose E. Hernandez","PIT",98.62404494382021,102.90382022471911,0.36,"Jose E. Hernandez",22318,669796
"Mike Baumann","- - -",103.05430842418706,96.13907157177937,0.35984848,"Mike Baumann",20206,657508
"Zac Gallen","ARI",91.06842441956573,104.11247051050616,0.35980392,"Zac Gallen",19291,668678
"Calvin Faucher","MIA",105.65956469473711,96.43121739211254,0.35977337,"Calvin Faucher",20116,676534
"Kyle Nicolas","PIT",106.47571840340044,79.2700618538443,0.35973597,"Kyle Nicolas",27775,693312
"Reynaldo López","ATL",98.0072911907799,102.29023962777201,0.35915493,"Reynaldo Lopez",16400,625643
"Orion Kerkering","PHI",119.43953823843509,104.83226899722253,0.35897436,"Orion Kerkering",31776,689147
"Tanner Rainey","- - -",103.1693788768309,84.1464674138647,0.35820896,"Tanner Rainey",17610,663432
"Landon Knack","LAD",93.79197120029222,100.76741806469916,0.3580786,"Landon Knack",27487,689017
"Mike Clevinger","CHW",93.39717524482688,92.04715896750649,0.35779817,"Mike Clevinger",12808,605182
"Mike Burrows","PIT",92.53467278999139,100.21827160493828,0.35766423,"Mike Burrows",24728,681347
"Hogan Harris","OAK",95.65670788065104,98.39477274776675,0.35730337,"Hogan Harris",21520,663687
"Pedro Avila","- - -",87.99344991206773,95.68274329225045,0.35694051,"Pedro Avila",18864,658648
"Gerrit Cole","NYY",106.90644908616187,100.41877284595297,0.35641026,"Gerrit Cole",13125,543037
"Dane Dunning","TEX",90.16177170041544,93.60038800148305,0.35632184,"Dane Dunning",19409,641540
"Liam Hendriks","BOS",93.38275862068966,88.66767241379311,0.3559322,"Liam Hendriks",3548,521230
"Brandon Williamson","CIN",93.43803635038861,90.06374230893783,0.3559322,"Brandon Williamson",25463,682227
"Michael Tonkin","- - -",102.70475345717448,98.27811951919385,0.35588235,"Michael Tonkin",10315,543859
"Beau Brieske","DET",100.19672939498315,96.96791221194505,0.35584416,"Beau Brieske",26079,689225
"Will Klein","- - -",99.69262011173184,96.88718770949723,0.35555556,"Will Klein",27787,694361
"Aaron Ashby","MIL",109.6638955673306,101.47454877435558,0.35542169,"Aaron Ashby",23550,676879
"Caleb Ferguson","- - -",103.775210849295,98.5203332243866,0.35509138,"Caleb Ferguson",19349,657571
"Austin Voth","SEA",100.52117163412125,101.64842754367928,0.35483871,"Austin Voth",15047,608723
"Luis Peralta","COL",96.84831431966725,88.79643493761141,0.35483871,"Luis Peralta",24203,678821
"Buck Farmer","CIN",99.03643429667247,100.21754445892702,0.35451505,"Buck Farmer",14814,571656
"Drew Smyly","CHC",104.65086956521742,101.86205533596839,0.3540856,"Drew Smyly",11760,592767
"DL Hall","MIL",88.96201481378066,95.51799696271267,0.3540856,"DL Hall",22207,669084
"Joey Wentz","- - -",96.21939346780692,96.21978125091798,0.3537415,"Joey Wentz",19962,666214
"Kris Bubic","KCR",95.12019904003175,107.12417201977645,0.35344828,"Kris Bubic",21455,663460
"Aaron Bummer","ATL",113.66946768329275,95.41297579063291,0.35309973,"Aaron Bummer",16258,607481
"Erasmo Ramírez","TBR",93.91854304635763,101.5274834437086,0.35294118,"Erasmo Ramirez",10314,541640
"Alex Young","- - -",91.12799269609401,100.83447570657351,0.35294118,"Alex Young",18333,622065
"Jackson Kowar","SEA",99.46000000000001,107.16450331125827,0.35294118,"Jackson Kowar",21549,663804
"Rafael Montero","- - -",98.85266470354084,101.38750390426738,0.35272727,"Rafael Montero",12760,606160
"Ryan Borucki","PIT",106.29839899365251,90.30162098602608,0.3525641,"Ryan Borucki",16350,621366
"Yerry Rodríguez","- - -",99.7914756916465,95.05320198764439,0.35238095,"Yerry Rodriguez",21955,666720
"Michael Grove","LAD",94.63710746753043,111.49023231481539,0.35185185,"Michael Grove",23221,675627
"Hunter Harvey","- - -",104.64400948933105,105.69252750281105,0.35169492,"Hunter Harvey",15507,640451
"Kevin Ginkel","ARI",93.774654994671,109.03283696059269,0.35164835,"Kevin Ginkel",19876,656464
"Chase Lee","DET",102.95174515235458,104.00382271468145,0.35164835,"Chase Lee",29574,695445
"José Ruiz","- - -",103.03143885807648,105.3962712273317,0.35135135,"Jose Ruiz",14552,614179
"Patrick Sandoval","LAA",99.68936022253129,103.55033379694027,0.35127479,"Patrick Sandoval",19447,663776
"Tayler Saucedo","SEA",100.7461391721113,87.88592729410168,0.35106383,"Tayler Saucedo",17888,642048
"Matt Svanson","STL",104.86305220883534,92.7912449799197,0.35087719,"Matt Svanson",29629,694335
"Anthony Banda","LAD",103.68678942451822,99.53857366653921,0.35057471,"Anthony Banda",14706,607455
"Shawn Armstrong","- - -",104.70978430111559,99.65801140637912,0.35046729,"Shawn Armstrong",12857,542888
"Chad Kuhl","CHW",97.5997125024767,83.9632577108513,0.35,"Chad Kuhl",14975,641771
"Domingo Germán","PIT",85.53928108888432,89.05993648174882,0.35,"Domingo German",17149,593334
"Josh Walker","- - -",94.10768729641694,90.06677524429968,0.35,"Josh Walker",23617,677020
"Zach Penrod","BOS",104.24682352941176,72.02729411764706,0.35,"Zach Penrod",25368,683068
"Victor Vodnik","COL",98.25471017984883,100.66850033184664,0.34975369,"Victor Vodnik",24614,680767
"Brennan Bernardino","BOS",104.0716026337981,92.69390850651912,0.34929577,"Brennan Bernardino",16835,657514
"Carson Fulmer","LAA",88.9468345184969,95.45222173812313,0.34828496,"Carson Fulmer",18311,608334
"Emmanuel Ramirez","MIA",98.90975741239889,97.12134770889489,0.34782609,"Emmanuel Ramirez",17304,642629
"Grant Taylor","CHW",96.85960406634564,130.33573033707864,0.34782609,"Grant Taylor",33927,691799
"AJ Smith-Shawver","ATL",98.81932674893628,93.66724158774934,0.34761905,"AJ Smith-Shawver",29960,700363
"Jesús Luzardo","- - -",100.36310532608042,104.95323246402035,0.34749621,"Jesus Luzardo",19959,666200
"Ryan Johnson","LAA",102.67711267605637,103.10415492957749,0.34722222,"Ryan Johnson",35325,696270
"Cole Sulser","- - -",95.71100158095699,104.77041934308323,0.34677419,"Cole Sulser",15256,642121
"Jacob Webb","- - -",94.84537482389598,99.88221757641112,0.34656085,"Jacob Webb",19274,657097
"Trent Thornton","SEA",106.26215131675292,102.81492090132126,0.3459596,"Trent Thornton",17948,663423
"Scott McGough","ARI",87.05691534508539,94.12304679766646,0.34594595,"Scott McGough",12056,543518
