"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Kremer, Dean",665152,2024,".239",".423",".294",".326",".315",".184",".334",".381",".293",".320","-0.016","-0.052","-0.032","71.5",23.3,13.2,10.3,29.7,23.2,"7.4",13,"87.4","15.1",31.1,9.8
"Glasnow, Tyler",607192,2024,".195",".324",".258",".254",".250",".129",".347",".342",".290",".299","-0.005",".023",".004","71.5",23,11.4,8.1,31,22,"7.2",16,"89","9.3",32.5,8.5
"Carrasco, Carlos",471911,2025,".292",".474",".357",".362",".353",".182",".393",".400",".313",".355","-0.029",".031","-0.005","72.4",26.9,20.7,16.8,40.7,32.9,"7.6",2,"91.4","14.2",38.6,12
"Pivetta, Nick",601713,2025,".213",".406",".212",".287",".260",".193",".264",".381",".244",".309","-0.044","-0.156","-0.075","72.1",21.4,14.1,10,38.3,27.1,"7.2",1,"88.4","18.3",33.7,12.8
"Gausman, Kevin",592332,2024,".257",".449",".300",".333",".315",".192",".349",".397",".309",".336","-0.019","-0.057","-0.033","71.9",25.5,15,11.6,32.1,24.7,"7.3",14,"90.2","16.1",35.5,9.7
"Vásquez, Randy",681190,2025,".273",".468",".318",".384",".401",".196",".265",".353",".264",".307","-0.033","-0.158","-0.066","71.5",26,11.8,10.2,35.3,30.5,"7.2",1,"87.7","18.6",31.9,7.7
"Baz, Shane",669358,2025,".177",".317",".256",".257",".256",".140",".320",".321",".299",".271",".017","-0.035","-0.001","72.1",27.7,14.3,11,30.6,23.6,"7.2",5,"90.7","14.3",19.4,10.4
"Springs, Jeffrey",605488,2025,".253",".413",".353",".336",".343",".160",".398",".373",".337",".329",".015",".051",".017","70.5",16.7,13.3,10,34.8,26.3,"7.4",3,"86.8","19.3",38.2,9
"Stone, Gavin",694813,2024,".253",".395",".304",".307",".303",".142",".351",".355",".314",".322","-0.005",".007","-0.003","71.7",26.5,14,10.6,34,25.8,"7.4",13,"88.2","11.2",32.5,6.4
"Lynn, Lance",458681,2024,".262",".453",".314",".340",".330",".191",".359",".397",".320",".340","-0.015","-0.051","-0.026","71.8",24.8,12.3,9.5,30.3,23.4,"7.1",15,"88.9","17",37,10.5
