Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kirk McCarty",,0.0484,0.0551,0.0165,4.51206,0.8029,0.0419,0,0,,1,4.343,1.0223,0.5371,0.50134,0.149778,0.3655,0.0219,0.0395,0.8069,7.2621,3.2895,2.20766,1.348,0.185793,0.0841584,0.10163481533527374,0.259599,1.3878,0.292663,0.722088,0.387988,,4.71479,-0.00438322,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kirk McCarty","20555",668948
"Shane Drohan","BOS",0.0493,0.0592,0.029,4.72491,0.6273,0.0793,0,0,,1,4.401,1.0216,0.5628,0.52499,0.139556,0.4424,0.0152,0.0448,0.8148,7.3332,3.9816,1.84177,1.256,0.18514,0.100523,0.08461713790893555,0.261025,1.464,0.298044,0.710377,0.412087,,4.8127,-0.00438883,-0.0425348,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Shane Drohan","sa3014447",675660
"Nick Allgeyer",,0.0471,0.0508,0,4.45131,1,0,0,0,,1,4.354,0.9863,0.529,0.49459,0.145889,0.3882,0.0251,0.0575,0.8422,7.5798,3.4938,2.1695,1.313,0.193431,0.0891594,0.10427192598581314,0.25236,1.3745,0.287791,0.722492,0.368994,,4.71574,-0.00439394,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nick Allgeyer","24486",680430
"Noah Gotsis",,0.0462,0.0516,0,4.61979,1,0,0,0,,1,4.325,1.0307,0.5478,0.51331,0.155333,0.3318,0.025,0.042,0.7957,7.1613,2.9862,2.39813,1.398,0.183977,0.0767168,0.10726011544466019,0.260857,1.3625,0.291773,0.711508,0.373984,,4.71581,-0.00439482,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Noah Gotsis","sa3011844",691963
"Matt Tabor",,0.0462,0.0516,0,4.61349,1,0,0,0,,1,4.394,0.985,0.5485,0.51261,0.140667,0.454,0.0254,0.0441,0.8864,7.9776,4.086,1.95242,1.266,0.20173,0.103323,0.09840691834688187,0.25283,1.439,0.294312,0.71695,0.38999,,4.71665,-0.00440427,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Matt Tabor","sa3005334",675652
"Zack Burdi",,0.0462,0.0516,0,4.61529,1,0,0,0,,1,4.382,0.9864,0.5483,0.51281,0.143333,0.438,0.0244,0.0477,0.8843,7.9587,3.942,2.01895,1.29,0.201803,0.0999544,0.10184847563505173,0.253163,1.4244,0.293888,0.715924,0.387006,,4.71831,-0.00442318,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Zack Burdi","19159",641420
"Joe Jones",,0.0472,0.0547,0.0114,4.59378,0.8582,0.0302,0,0,,1,4.39,1.003,0.5482,0.51042,0.136667,0.4311,0.0215,0.0518,0.8362,7.5258,3.8799,1.93969,1.23,0.190478,0.0982005,0.0922779068350792,0.256712,1.4341,0.29525,0.712845,0.417985,,4.71945,-0.00442583,-0.0476055,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Joe Jones","sa3014870",691839
"Javy Guerra",,0.0468,0.0529,0.0055,4.57245,0.9332,0.0142,0,0,,1,4.423,0.9676,0.5455,0.50805,0.130444,0.5102,0.0297,0.0465,0.9066,8.1594,4.5918,1.77695,1.174,0.204974,0.115352,0.08962243050336838,0.250265,1.4778,0.295893,0.719824,0.411004,,4.71916,-0.00443276,-0.0476151,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Javy Guerra","17292",642770
"Kyle Glogoski",,0.0464,0.0515,0,4.58757,1,0,0,0,,1,4.376,0.9832,0.545,0.50973,0.144444,0.4314,0.0253,0.0458,0.8783,7.9047,3.8826,2.03593,1.3,0.200708,0.0985832,0.10212523490190506,0.25218,1.4146,0.291634,0.717268,0.380992,,4.71926,-0.00443389,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kyle Glogoski","sa3007464",667236
"A.J. Puckett","CHC",0.0478,0.056,0.0168,4.5288,0.7939,0.0439,0,0,,1,4.365,1.0436,0.5434,0.5032,0.129778,0.38,0.0195,0.0499,0.7627,6.8643,3.42,2.00711,1.168,0.174731,0.0870561,0.08767469227313995,0.265203,1.4236,0.30034,0.708746,0.457694,,4.61789,-0.0044368,-0.0496453,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"A.J. Puckett","sa738686",643494
"Kevin Coulter",,0.0461,0.0518,0,4.6206,1,0,0,0,,1,4.394,1.0136,0.5511,0.5134,0.137,0.434,0.0254,0.0422,0.8282,7.4538,3.906,1.90829,1.233,0.188484,0.0987711,0.08971324563026428,0.258717,1.4476,0.296891,0.713888,0.416004,,4.71968,-0.00443868,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kevin Coulter","sa3010115",663892
"Kyle Johnston",,0.0474,0.0563,0.0165,4.60242,0.7955,0.0435,0,0,,1,4.433,1.0459,0.5541,0.51138,0.118,0.4536,0.02,0.0539,0.7512,6.7608,4.0824,1.65608,1.062,0.169456,0.102323,0.067132867872715,0.266437,1.4995,0.303602,0.708536,0.488998,,4.72058,-0.00444889,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kyle Johnston","sa3004571",656594
"Ryan Brady","KCR",0.0466,0.0559,0.0124,4.78557,0.8351,0.0351,0,0,,1,4.398,1.0952,0.5722,0.53173,0.130667,0.3684,0.0209,0.046,0.6755,6.0795,3.3156,1.8336,1.176,0.153593,0.0837654,0.06982718408107758,0.274927,1.4636,0.303557,0.696044,0.447154,,4.75735,-0.00444974,-0.0440218,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ryan Brady","sa3020313",676433
"Will Kobos",,0.045,0.0529,0,4.69593,1,0,0,0,,1,4.431,0.9848,0.5575,0.52177,0.134556,0.492,0.0256,0.0452,0.8908,8.0172,4.428,1.81057,1.211,0.201038,0.111036,0.09000225365161896,0.252915,1.4768,0.296413,0.713508,0.379469,,4.7457,-0.00446061,-0.0445446,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Will Kobos","sa3007614",681943
"Justin Garza","NYM",0.0466,0.0526,0.0038,4.35429,0.9546,0.0096,0,0,,1,4.346,0.9879,0.5203,0.48381,0.130444,0.382,0.0241,0.047,0.8731,7.8579,3.438,2.2856,1.174,0.200897,0.0878969,0.11300045251846313,0.252208,1.3699,0.294309,0.715587,0.407875,,4.40306,-0.0044648,-0.0505165,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Justin Garza","19784",621057
"Samuel Reyes",,0.0476,0.0569,0.018,4.6179,0.7708,0.0488,0,0,,1,4.381,1.0307,0.552,0.5131,0.136667,0.4101,0.019,0.0396,0.7851,7.0659,3.6909,1.91441,1.23,0.179206,0.0936088,0.08559688925743103,0.262178,1.4408,0.297067,0.711344,0.433003,,4.72205,-0.00446553,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Samuel Reyes","sa3003036",672795
